batch_id,line_id,timestamp,shift,product_type,material_batch,operator_team,planned_units,actual_units,good_units,avg_temperature,avg_vibration,avg_pressure,avg_cycle_time,avg_energy_consumption
B2026013120_L1,L1,2026-01-31 20:00:00,Evening,Battery Module,MAT-0131-L1,Team C,191,189,183,74.63,3.133,96.97,55.6,169.19
B2026020100_L1,L1,2026-02-01 00:00:00,Night,Battery Module,MAT-0201-L1,Team B,184,183,174,77.08,3.236,99.38,55.75,169.34
B2026020104_L1,L1,2026-02-01 04:00:00,Night,Battery Module,MAT-0201-L1,Team C,205,197,188,78.23,3.178,101.28,55.49,170.34
B2026020108_L1,L1,2026-02-01 08:00:00,Day,Battery Module,MAT-0201-L1,Team D,190,185,179,75.83,3.055,100.01,56.22,169.9
B2026020112_L1,L1,2026-02-01 12:00:00,Day,Battery Module,MAT-0201-L1,Team A,218,208,200,74.02,3.022,97.78,55.85,169.75
B2026020116_L1,L1,2026-02-01 16:00:00,Evening,Battery Module,MAT-0201-L1,Team B,223,219,211,74.32,3.092,95.96,55.57,169.39
B2026020120_L1,L1,2026-02-01 20:00:00,Evening,Battery Module,MAT-0201-L1,Team C,235,238,233,74.74,3.136,96.74,55.34,168.88
B2026020200_L1,L1,2026-02-02 00:00:00,Night,Steering Column,MAT-0202-L1,Team B,217,202,198,76.94,3.268,99.21,56.05,170.92
B2026020204_L1,L1,2026-02-02 04:00:00,Night,Steering Column,MAT-0202-L1,Team C,236,235,227,78.13,3.2,100.69,55.37,170.19
B2026020208_L1,L1,2026-02-02 08:00:00,Day,Steering Column,MAT-0202-L1,Team D,239,235,229,75.7,3.047,100.04,55.65,169.67
B2026020212_L1,L1,2026-02-02 12:00:00,Day,Steering Column,MAT-0202-L1,Team A,212,204,194,74.12,3.077,97.93,55.86,169.48
B2026020216_L1,L1,2026-02-02 16:00:00,Evening,Steering Column,MAT-0202-L1,Team B,189,179,172,73.82,3.186,96.25,55.41,168.82
B2026020220_L1,L1,2026-02-02 20:00:00,Evening,Steering Column,MAT-0202-L1,Team C,189,188,179,75.0,3.128,97.4,55.79,169.41
B2026020300_L1,L1,2026-02-03 00:00:00,Night,SUV Frame,MAT-0203-L1,Team B,193,191,183,76.81,3.271,99.7,56.09,170.28
B2026020304_L1,L1,2026-02-03 04:00:00,Night,SUV Frame,MAT-0203-L1,Team C,205,201,194,77.84,3.154,100.67,55.74,169.89
B2026020308_L1,L1,2026-02-03 08:00:00,Day,SUV Frame,MAT-0203-L1,Team D,203,201,195,75.59,3.074,100.47,55.66,169.07
B2026020312_L1,L1,2026-02-03 12:00:00,Day,SUV Frame,MAT-0203-L1,Team A,195,191,179,74.17,3.126,97.92,55.76,169.13
B2026020316_L1,L1,2026-02-03 16:00:00,Evening,SUV Frame,MAT-0203-L1,Team B,182,175,162,74.03,3.148,96.41,55.98,169.3
B2026020320_L1,L1,2026-02-03 20:00:00,Evening,SUV Frame,MAT-0203-L1,Team C,202,197,182,74.78,3.234,97.66,55.49,169.47
B2026020400_L1,L1,2026-02-04 00:00:00,Night,Battery Module,MAT-0204-L1,Team B,194,190,180,77.25,3.283,99.24,55.13,170.43
B2026020404_L1,L1,2026-02-04 04:00:00,Night,Battery Module,MAT-0204-L1,Team C,204,207,203,77.82,3.197,100.53,54.94,169.83
B2026020408_L1,L1,2026-02-04 08:00:00,Day,Battery Module,MAT-0204-L1,Team D,201,189,183,75.44,3.07,99.74,55.69,169.1
B2026020412_L1,L1,2026-02-04 12:00:00,Day,Battery Module,MAT-0204-L1,Team A,216,211,201,74.16,3.099,97.66,55.36,168.83
B2026020416_L1,L1,2026-02-04 16:00:00,Evening,Battery Module,MAT-0204-L1,Team B,236,230,220,74.31,3.179,95.85,55.91,169.92
B2026020420_L1,L1,2026-02-04 20:00:00,Evening,Battery Module,MAT-0204-L1,Team C,208,202,194,74.65,3.187,97.22,55.75,169.89
B2026020500_L1,L1,2026-02-05 00:00:00,Night,Steering Column,MAT-0205-L1,Team B,199,207,199,77.15,3.253,99.05,55.92,169.6
B2026020504_L1,L1,2026-02-05 04:00:00,Night,Steering Column,MAT-0205-L1,Team C,185,192,180,77.33,3.257,100.71,55.38,170.43
B2026020508_L1,L1,2026-02-05 08:00:00,Day,Steering Column,MAT-0205-L1,Team D,196,191,181,75.65,3.102,99.57,56.41,169.05
B2026020512_L1,L1,2026-02-05 12:00:00,Day,Steering Column,MAT-0205-L1,Team A,237,226,219,73.75,3.136,96.83,56.1,169.55
B2026020516_L1,L1,2026-02-05 16:00:00,Evening,Steering Column,MAT-0205-L1,Team B,196,198,186,74.21,3.204,96.13,56.01,169.65
B2026020520_L1,L1,2026-02-05 20:00:00,Evening,Steering Column,MAT-0205-L1,Team C,209,205,198,74.69,3.215,97.09,55.95,169.77
B2026020600_L1,L1,2026-02-06 00:00:00,Night,SUV Frame,MAT-0206-L1,Team B,239,239,231,77.19,3.321,99.29,55.52,170.2
B2026020604_L1,L1,2026-02-06 04:00:00,Night,SUV Frame,MAT-0206-L1,Team C,229,226,217,77.87,3.315,101.11,56.27,171.04
B2026020608_L1,L1,2026-02-06 08:00:00,Day,SUV Frame,MAT-0206-L1,Team D,193,186,173,75.82,3.184,100.0,55.85,169.94
B2026020612_L1,L1,2026-02-06 12:00:00,Day,SUV Frame,MAT-0206-L1,Team A,206,195,191,73.72,3.151,97.78,55.81,169.63
B2026020616_L1,L1,2026-02-06 16:00:00,Evening,SUV Frame,MAT-0206-L1,Team B,214,213,205,74.04,3.281,96.16,55.73,169.66
B2026020620_L1,L1,2026-02-06 20:00:00,Evening,SUV Frame,MAT-0206-L1,Team C,207,206,196,74.58,3.224,96.97,56.22,169.98
B2026020700_L1,L1,2026-02-07 00:00:00,Night,Battery Module,MAT-0207-L1,Team B,217,207,200,77.14,3.33,99.58,55.03,170.09
B2026020704_L1,L1,2026-02-07 04:00:00,Night,Battery Module,MAT-0207-L1,Team C,224,230,218,77.88,3.305,100.74,55.55,170.2
B2026020708_L1,L1,2026-02-07 08:00:00,Day,Battery Module,MAT-0207-L1,Team D,222,220,208,75.93,3.172,99.8,56.77,170.44
B2026020712_L1,L1,2026-02-07 12:00:00,Day,Battery Module,MAT-0207-L1,Team A,216,207,195,74.26,3.189,97.41,55.92,169.42
B2026020716_L1,L1,2026-02-07 16:00:00,Evening,Battery Module,MAT-0207-L1,Team B,216,215,205,74.37,3.2,96.09,56.1,169.02
B2026020720_L1,L1,2026-02-07 20:00:00,Evening,Battery Module,MAT-0207-L1,Team C,218,214,205,74.6,3.245,96.65,56.02,170.59
B2026020800_L1,L1,2026-02-08 00:00:00,Night,Steering Column,MAT-0208-L1,Team B,219,223,216,76.87,3.374,99.84,56.43,171.49
B2026020804_L1,L1,2026-02-08 04:00:00,Night,Steering Column,MAT-0208-L1,Team C,234,225,212,77.48,3.285,100.57,56.82,171.07
B2026020808_L1,L1,2026-02-08 08:00:00,Day,Steering Column,MAT-0208-L1,Team D,239,234,224,75.58,3.204,99.74,55.91,170.06
B2026020812_L1,L1,2026-02-08 12:00:00,Day,Steering Column,MAT-0208-L1,Team A,184,181,176,74.23,3.191,97.07,55.32,169.64
B2026020816_L1,L1,2026-02-08 16:00:00,Evening,Steering Column,MAT-0208-L1,Team B,186,178,171,73.91,3.267,95.48,56.22,169.74
B2026020820_L1,L1,2026-02-08 20:00:00,Evening,Steering Column,MAT-0208-L1,Team C,189,195,184,74.45,3.308,96.98,55.72,169.24
B2026020900_L1,L1,2026-02-09 00:00:00,Night,SUV Frame,MAT-0209-L1,Team B,198,188,181,76.76,3.358,99.14,55.96,171.07
B2026020904_L1,L1,2026-02-09 04:00:00,Night,SUV Frame,MAT-0209-L1,Team C,221,221,215,78.08,3.392,100.91,57.08,171.88
B2026020908_L1,L1,2026-02-09 08:00:00,Day,SUV Frame,MAT-0209-L1,Team D,230,224,211,75.44,3.226,99.97,55.73,169.6
B2026020912_L1,L1,2026-02-09 12:00:00,Day,SUV Frame,MAT-0209-L1,Team A,236,233,218,73.89,3.228,97.23,55.71,169.35
B2026020916_L1,L1,2026-02-09 16:00:00,Evening,SUV Frame,MAT-0209-L1,Team B,192,192,184,74.35,3.286,96.47,56.14,170.56
B2026020920_L1,L1,2026-02-09 20:00:00,Evening,SUV Frame,MAT-0209-L1,Team C,201,199,185,74.6,3.307,97.21,56.46,170.21
B2026021000_L1,L1,2026-02-10 00:00:00,Night,Battery Module,MAT-0210-L1,Team B,190,187,177,76.66,3.369,98.47,56.74,170.4
B2026021004_L1,L1,2026-02-10 04:00:00,Night,Battery Module,MAT-0210-L1,Team C,211,194,185,78.28,3.383,100.51,56.4,170.78
B2026021008_L1,L1,2026-02-10 08:00:00,Day,Battery Module,MAT-0210-L1,Team D,187,188,179,75.38,3.267,99.71,55.85,169.92
B2026021012_L1,L1,2026-02-10 12:00:00,Day,Battery Module,MAT-0210-L1,Team A,209,211,208,74.15,3.21,97.11,56.62,169.85
B2026021016_L1,L1,2026-02-10 16:00:00,Evening,Battery Module,MAT-0210-L1,Team B,187,182,174,73.7,3.277,96.39,56.46,170.32
B2026021020_L1,L1,2026-02-10 20:00:00,Evening,Battery Module,MAT-0210-L1,Team C,238,231,223,74.51,3.381,96.81,56.26,170.82
B2026021100_L1,L1,2026-02-11 00:00:00,Night,Steering Column,MAT-0211-L1,Team B,195,193,183,76.91,3.425,99.21,55.98,169.94
B2026021104_L1,L1,2026-02-11 04:00:00,Night,Steering Column,MAT-0211-L1,Team C,216,209,195,77.97,3.419,100.67,56.2,171.29
B2026021108_L1,L1,2026-02-11 08:00:00,Day,Steering Column,MAT-0211-L1,Team D,204,209,195,75.35,3.27,99.57,55.81,170.31
B2026021112_L1,L1,2026-02-11 12:00:00,Day,Steering Column,MAT-0211-L1,Team A,234,227,221,74.27,3.255,97.69,56.55,169.92
B2026021116_L1,L1,2026-02-11 16:00:00,Evening,Steering Column,MAT-0211-L1,Team B,185,173,163,73.85,3.386,96.0,56.53,170.52
B2026021120_L1,L1,2026-02-11 20:00:00,Evening,Steering Column,MAT-0211-L1,Team C,210,206,197,74.53,3.338,97.36,56.83,170.45
B2026021200_L1,L1,2026-02-12 00:00:00,Night,SUV Frame,MAT-0212-L1,Team B,186,176,170,76.6,3.41,99.26,55.75,170.5
B2026021204_L1,L1,2026-02-12 04:00:00,Night,SUV Frame,MAT-0212-L1,Team C,224,214,209,77.91,3.416,101.09,56.56,171.6
B2026021208_L1,L1,2026-02-12 08:00:00,Day,SUV Frame,MAT-0212-L1,Team D,229,214,208,75.63,3.315,100.0,56.48,170.9
B2026021212_L1,L1,2026-02-12 12:00:00,Day,SUV Frame,MAT-0212-L1,Team A,207,203,196,74.3,3.289,97.84,56.2,169.98
B2026021216_L1,L1,2026-02-12 16:00:00,Evening,SUV Frame,MAT-0212-L1,Team B,205,190,186,74.23,3.422,96.64,56.93,170.98
B2026021220_L1,L1,2026-02-12 20:00:00,Evening,SUV Frame,MAT-0212-L1,Team C,231,223,216,74.51,3.359,97.37,56.26,170.7
B2026021300_L1,L1,2026-02-13 00:00:00,Night,Battery Module,MAT-0213-L1,Team B,214,212,197,76.86,3.518,98.97,56.65,171.62
B2026021304_L1,L1,2026-02-13 04:00:00,Night,Battery Module,MAT-0213-L1,Team C,183,180,175,77.87,3.376,100.43,57.08,172.0
B2026021308_L1,L1,2026-02-13 08:00:00,Day,Battery Module,MAT-0213-L1,Team D,230,232,220,75.49,3.317,100.15,56.4,171.32
B2026021312_L1,L1,2026-02-13 12:00:00,Day,Battery Module,MAT-0213-L1,Team A,199,191,186,73.6,3.313,97.52,56.17,170.63
B2026021316_L1,L1,2026-02-13 16:00:00,Evening,Battery Module,MAT-0213-L1,Team B,233,215,203,73.93,3.385,95.91,56.2,170.43
B2026021320_L1,L1,2026-02-13 20:00:00,Evening,Battery Module,MAT-0213-L1,Team C,189,187,178,74.09,3.354,96.51,56.5,169.43
B2026021400_L1,L1,2026-02-14 00:00:00,Night,Steering Column,MAT-0214-L1,Team B,222,217,201,77.04,3.553,99.36,56.39,171.63
B2026021404_L1,L1,2026-02-14 04:00:00,Night,Steering Column,MAT-0214-L1,Team C,201,184,174,78.19,3.488,100.56,55.64,171.39
B2026021408_L1,L1,2026-02-14 08:00:00,Day,Steering Column,MAT-0214-L1,Team D,185,173,162,75.61,3.312,99.98,56.35,169.82
B2026021412_L1,L1,2026-02-14 12:00:00,Day,Steering Column,MAT-0214-L1,Team A,193,185,178,73.74,3.296,97.29,56.52,170.21
B2026021416_L1,L1,2026-02-14 16:00:00,Evening,Steering Column,MAT-0214-L1,Team B,210,205,199,74.07,3.4,96.02,56.2,170.67
B2026021420_L1,L1,2026-02-14 20:00:00,Evening,Steering Column,MAT-0214-L1,Team C,231,223,214,74.6,3.433,97.06,56.95,171.71
B2026021500_L1,L1,2026-02-15 00:00:00,Night,SUV Frame,MAT-0215-L1,Team B,217,208,196,76.87,3.458,99.15,56.49,170.87
B2026021504_L1,L1,2026-02-15 04:00:00,Night,SUV Frame,MAT-0215-L1,Team C,212,205,194,77.48,3.503,100.85,56.46,171.83
B2026021508_L1,L1,2026-02-15 08:00:00,Day,SUV Frame,MAT-0215-L1,Team D,224,215,206,75.31,3.311,100.02,56.76,170.11
B2026021512_L1,L1,2026-02-15 12:00:00,Day,SUV Frame,MAT-0215-L1,Team A,232,230,212,74.56,3.355,97.04,56.55,169.66
B2026021516_L1,L1,2026-02-15 16:00:00,Evening,SUV Frame,MAT-0215-L1,Team B,224,214,209,73.88,3.46,95.81,56.49,171.27
B2026021520_L1,L1,2026-02-15 20:00:00,Evening,SUV Frame,MAT-0215-L1,Team C,184,179,166,74.66,3.422,96.77,56.64,171.12
B2026021600_L1,L1,2026-02-16 00:00:00,Night,Battery Module,MAT-0216-L1,Team B,238,231,227,77.1,3.424,98.81,56.89,171.51
B2026021604_L1,L1,2026-02-16 04:00:00,Night,Battery Module,MAT-0216-L1,Team C,231,229,221,78.38,3.43,100.07,56.35,171.84
B2026021608_L1,L1,2026-02-16 08:00:00,Day,Battery Module,MAT-0216-L1,Team D,208,205,198,75.75,3.312,99.13,56.75,171.42
B2026021612_L1,L1,2026-02-16 12:00:00,Day,Battery Module,MAT-0216-L1,Team A,220,218,209,73.81,3.355,97.4,56.35,169.6
B2026021616_L1,L1,2026-02-16 16:00:00,Evening,Battery Module,MAT-0216-L1,Team B,196,195,188,74.1,3.45,96.15,56.44,170.42
B2026021620_L1,L1,2026-02-16 20:00:00,Evening,Battery Module,MAT-0216-L1,Team C,209,197,187,74.45,3.444,97.52,57.19,171.09
B2026021700_L1,L1,2026-02-17 00:00:00,Night,Steering Column,MAT-0217-L1,Team B,205,203,196,76.85,3.518,98.9,56.73,171.58
B2026021704_L1,L1,2026-02-17 04:00:00,Night,Steering Column,MAT-0217-L1,Team C,227,222,213,77.62,3.514,100.34,56.56,172.24
B2026021708_L1,L1,2026-02-17 08:00:00,Day,Steering Column,MAT-0217-L1,Team D,220,217,206,76.09,3.369,99.62,56.94,171.37
B2026021712_L1,L1,2026-02-17 12:00:00,Day,Steering Column,MAT-0217-L1,Team A,197,194,180,74.01,3.415,97.4,56.83,171.13
B2026021716_L1,L1,2026-02-17 16:00:00,Evening,Steering Column,MAT-0217-L1,Team B,217,220,212,74.47,3.473,96.0,56.35,171.14
B2026021720_L1,L1,2026-02-17 20:00:00,Evening,Steering Column,MAT-0217-L1,Team C,200,191,180,74.38,3.498,97.2,56.88,170.81
B2026021800_L1,L1,2026-02-18 00:00:00,Night,SUV Frame,MAT-0218-L1,Team B,192,176,165,76.65,3.498,98.55,56.36,171.51
B2026021804_L1,L1,2026-02-18 04:00:00,Night,SUV Frame,MAT-0218-L1,Team C,229,223,216,78.1,3.512,100.28,56.73,171.92
B2026021808_L1,L1,2026-02-18 08:00:00,Day,SUV Frame,MAT-0218-L1,Team D,221,227,218,75.54,3.359,99.71,57.12,171.33
B2026021812_L1,L1,2026-02-18 12:00:00,Day,SUV Frame,MAT-0218-L1,Team A,188,179,175,74.35,3.409,96.79,56.57,170.48
B2026021816_L1,L1,2026-02-18 16:00:00,Evening,SUV Frame,MAT-0218-L1,Team B,227,225,218,74.15,3.426,95.75,56.73,170.59
B2026021820_L1,L1,2026-02-18 20:00:00,Evening,SUV Frame,MAT-0218-L1,Team C,236,230,221,74.89,3.429,96.8,56.42,170.35
B2026021900_L1,L1,2026-02-19 00:00:00,Night,Battery Module,MAT-0219-L1,Team B,185,176,171,76.82,3.593,98.93,57.34,172.47
B2026021904_L1,L1,2026-02-19 04:00:00,Night,Battery Module,MAT-0219-L1,Team C,209,206,196,77.96,3.527,100.62,56.51,171.72
B2026021908_L1,L1,2026-02-19 08:00:00,Day,Battery Module,MAT-0219-L1,Team D,208,204,197,75.59,3.397,99.41,56.67,170.85
B2026021912_L1,L1,2026-02-19 12:00:00,Day,Battery Module,MAT-0219-L1,Team A,180,177,163,74.25,3.47,97.83,56.51,170.72
B2026021916_L1,L1,2026-02-19 16:00:00,Evening,Battery Module,MAT-0219-L1,Team B,206,202,189,73.88,3.527,96.12,56.31,170.1
B2026021920_L1,L1,2026-02-19 20:00:00,Evening,Battery Module,MAT-0219-L1,Team C,205,191,184,74.62,3.509,96.66,56.84,172.14
B2026022000_L1,L1,2026-02-20 00:00:00,Night,Steering Column,MAT-0220-L1,Team B,230,220,211,77.04,3.583,98.8,56.41,171.29
B2026022004_L1,L1,2026-02-20 04:00:00,Night,Steering Column,MAT-0220-L1,Team C,203,186,180,77.91,3.564,100.09,57.01,171.61
B2026022008_L1,L1,2026-02-20 08:00:00,Day,Steering Column,MAT-0220-L1,Team D,207,203,195,75.7,3.408,99.5,56.94,171.33
B2026022012_L1,L1,2026-02-20 12:00:00,Day,Steering Column,MAT-0220-L1,Team A,190,189,180,73.97,3.457,97.46,56.54,170.1
B2026022016_L1,L1,2026-02-20 16:00:00,Evening,Steering Column,MAT-0220-L1,Team B,187,181,167,74.02,3.514,96.22,56.67,171.01
B2026022020_L1,L1,2026-02-20 20:00:00,Evening,Steering Column,MAT-0220-L1,Team C,189,186,179,74.94,3.514,96.36,56.81,171.51
B2026022100_L1,L1,2026-02-21 00:00:00,Night,SUV Frame,MAT-0221-L1,Team B,200,194,181,77.06,3.555,99.18,57.17,172.5
B2026022104_L1,L1,2026-02-21 04:00:00,Night,SUV Frame,MAT-0221-L1,Team C,181,169,160,78.11,3.579,100.93,56.87,171.64
B2026022108_L1,L1,2026-02-21 08:00:00,Day,SUV Frame,MAT-0221-L1,Team D,220,209,200,75.93,3.403,99.81,56.35,170.77
B2026022112_L1,L1,2026-02-21 12:00:00,Day,SUV Frame,MAT-0221-L1,Team A,193,193,186,74.18,3.452,97.43,56.71,170.72
B2026022116_L1,L1,2026-02-21 16:00:00,Evening,SUV Frame,MAT-0221-L1,Team B,218,219,205,74.54,3.475,95.72,56.83,171.35
B2026022120_L1,L1,2026-02-21 20:00:00,Evening,SUV Frame,MAT-0221-L1,Team C,193,185,174,74.41,3.566,96.74,56.83,170.86
B2026022200_L1,L1,2026-02-22 00:00:00,Night,Battery Module,MAT-0222-L1,Team B,222,218,211,76.78,3.615,98.88,57.03,172.43
B2026022204_L1,L1,2026-02-22 04:00:00,Night,Battery Module,MAT-0222-L1,Team C,219,218,207,78.38,3.609,100.34,56.66,171.62
B2026022208_L1,L1,2026-02-22 08:00:00,Day,Battery Module,MAT-0222-L1,Team D,208,201,191,75.87,3.444,99.31,57.37,172.14
B2026022212_L1,L1,2026-02-22 12:00:00,Day,Battery Module,MAT-0222-L1,Team A,236,233,226,74.31,3.461,96.95,56.61,170.32
B2026022216_L1,L1,2026-02-22 16:00:00,Evening,Battery Module,MAT-0222-L1,Team B,198,187,178,74.14,3.598,95.52,56.72,170.59
B2026022220_L1,L1,2026-02-22 20:00:00,Evening,Battery Module,MAT-0222-L1,Team C,201,204,196,74.63,3.591,96.79,57.01,171.13
B2026022300_L1,L1,2026-02-23 00:00:00,Night,Steering Column,MAT-0223-L1,Team B,194,192,180,76.99,3.584,99.12,56.72,172.23
B2026022304_L1,L1,2026-02-23 04:00:00,Night,Steering Column,MAT-0223-L1,Team C,204,198,185,77.86,3.663,100.33,56.76,171.79
B2026022308_L1,L1,2026-02-23 08:00:00,Day,Steering Column,MAT-0223-L1,Team D,228,228,222,75.78,3.512,99.5,57.33,171.25
B2026022312_L1,L1,2026-02-23 12:00:00,Day,Steering Column,MAT-0223-L1,Team A,223,222,211,74.16,3.478,96.93,57.09,171.62
B2026022316_L1,L1,2026-02-23 16:00:00,Evening,Steering Column,MAT-0223-L1,Team B,217,214,202,74.31,3.573,96.09,56.41,171.11
B2026022320_L1,L1,2026-02-23 20:00:00,Evening,Steering Column,MAT-0223-L1,Team C,211,203,193,74.64,3.56,96.4,57.05,171.23
B2026022400_L1,L1,2026-02-24 00:00:00,Night,SUV Frame,MAT-0224-L1,Team B,209,203,197,76.78,3.574,98.86,56.62,170.75
B2026022404_L1,L1,2026-02-24 04:00:00,Night,SUV Frame,MAT-0224-L1,Team C,180,176,163,77.85,3.657,100.23,56.87,171.83
B2026022408_L1,L1,2026-02-24 08:00:00,Day,SUV Frame,MAT-0224-L1,Team D,216,207,194,75.46,3.528,99.3,57.21,171.1
B2026022412_L1,L1,2026-02-24 12:00:00,Day,SUV Frame,MAT-0224-L1,Team A,216,203,200,74.37,3.531,97.31,56.67,171.15
B2026022416_L1,L1,2026-02-24 16:00:00,Evening,SUV Frame,MAT-0224-L1,Team B,206,203,196,74.09,3.547,95.69,57.44,171.46
B2026022420_L1,L1,2026-02-24 20:00:00,Evening,SUV Frame,MAT-0224-L1,Team C,198,185,171,74.41,3.629,97.08,57.42,171.68
B2026022500_L1,L1,2026-02-25 00:00:00,Night,Battery Module,MAT-0225-L1,Team B,237,240,232,77.57,3.652,98.85,57.65,172.81
B2026022504_L1,L1,2026-02-25 04:00:00,Night,Battery Module,MAT-0225-L1,Team C,206,198,191,78.26,3.665,100.48,57.51,172.5
B2026022508_L1,L1,2026-02-25 08:00:00,Day,Battery Module,MAT-0225-L1,Team D,215,204,196,75.49,3.546,99.56,56.85,171.61
B2026022512_L1,L1,2026-02-25 12:00:00,Day,Battery Module,MAT-0225-L1,Team A,193,193,186,74.14,3.538,97.35,56.82,170.95
B2026022516_L1,L1,2026-02-25 16:00:00,Evening,Battery Module,MAT-0225-L1,Team B,205,197,191,73.72,3.638,95.81,57.27,171.24
B2026022520_L1,L1,2026-02-25 20:00:00,Evening,Battery Module,MAT-0225-L1,Team C,234,220,213,74.47,3.563,96.61,57.25,172.13
B2026022600_L1,L1,2026-02-26 00:00:00,Night,Steering Column,MAT-0226-L1,Team B,209,201,185,76.59,3.708,98.87,57.1,171.19
B2026022604_L1,L1,2026-02-26 04:00:00,Night,Steering Column,MAT-0226-L1,Team C,199,192,182,78.19,3.628,100.31,57.13,172.36
B2026022608_L1,L1,2026-02-26 08:00:00,Day,Steering Column,MAT-0226-L1,Team D,206,187,176,75.66,3.576,98.92,56.98,171.29
B2026022612_L1,L1,2026-02-26 12:00:00,Day,Steering Column,MAT-0226-L1,Team A,206,198,190,74.08,3.563,97.06,57.62,170.81
B2026022616_L1,L1,2026-02-26 16:00:00,Evening,Steering Column,MAT-0226-L1,Team B,200,188,178,74.31,3.657,95.49,57.77,172.33
B2026022620_L1,L1,2026-02-26 20:00:00,Evening,Steering Column,MAT-0226-L1,Team C,229,219,209,74.45,3.61,96.91,57.02,171.89
B2026022700_L1,L1,2026-02-27 00:00:00,Night,SUV Frame,MAT-0227-L1,Team B,227,223,219,77.03,3.752,98.93,57.57,171.98
B2026022704_L1,L1,2026-02-27 04:00:00,Night,SUV Frame,MAT-0227-L1,Team C,203,198,194,78.4,3.73,100.63,57.31,172.15
B2026022708_L1,L1,2026-02-27 08:00:00,Day,SUV Frame,MAT-0227-L1,Team D,200,190,182,75.8,3.526,99.31,57.07,171.6
B2026022712_L1,L1,2026-02-27 12:00:00,Day,SUV Frame,MAT-0227-L1,Team A,227,223,210,74.08,3.591,97.09,57.62,171.79
B2026022716_L1,L1,2026-02-27 16:00:00,Evening,SUV Frame,MAT-0227-L1,Team B,203,195,183,74.2,3.631,95.55,57.43,171.81
B2026022720_L1,L1,2026-02-27 20:00:00,Evening,SUV Frame,MAT-0227-L1,Team C,199,192,180,74.94,3.593,96.3,57.06,171.72
B2026022800_L1,L1,2026-02-28 00:00:00,Night,Battery Module,MAT-0228-L1,Team B,223,212,200,77.63,3.708,98.89,57.11,172.04
B2026022804_L1,L1,2026-02-28 04:00:00,Night,Battery Module,MAT-0228-L1,Team C,235,232,219,77.91,3.666,99.61,57.08,172.45
B2026022808_L1,L1,2026-02-28 08:00:00,Day,Battery Module,MAT-0228-L1,Team D,231,216,207,75.87,3.653,99.27,57.36,172.45
B2026022812_L1,L1,2026-02-28 12:00:00,Day,Battery Module,MAT-0228-L1,Team A,185,176,171,74.21,3.549,97.27,57.31,171.48
B2026022816_L1,L1,2026-02-28 16:00:00,Evening,Battery Module,MAT-0228-L1,Team B,196,195,188,73.9,3.678,95.5,58.06,172.16
B2026022820_L1,L1,2026-02-28 20:00:00,Evening,Battery Module,MAT-0228-L1,Team C,184,183,174,74.72,3.667,96.97,57.54,172.16
B2026030100_L1,L1,2026-03-01 00:00:00,Night,Battery Module,MAT-0301-L1,Team B,196,183,169,77.39,3.741,99.49,57.46,173.04
B2026030104_L1,L1,2026-03-01 04:00:00,Night,Battery Module,MAT-0301-L1,Team C,228,224,208,77.73,3.742,99.93,56.99,172.94
B2026030108_L1,L1,2026-03-01 08:00:00,Day,Battery Module,MAT-0301-L1,Team D,211,216,202,75.67,3.536,99.6,57.32,172.23
B2026030112_L1,L1,2026-03-01 12:00:00,Day,Battery Module,MAT-0301-L1,Team A,222,217,210,73.94,3.629,96.74,57.17,170.94
B2026030116_L1,L1,2026-03-01 16:00:00,Evening,Battery Module,MAT-0301-L1,Team B,235,225,217,73.96,3.669,95.54,57.95,172.31
B2026030120_L1,L1,2026-03-01 20:00:00,Evening,Battery Module,MAT-0301-L1,Team C,228,219,210,74.83,3.722,96.55,57.42,173.25
B2026010100_L2,L2,2026-01-01 00:00:00,Night,Steering Column,MAT-0101-L2,Team C,234,222,217,78.37,2.578,99.66,57.81,169.81
B2026010104_L2,L2,2026-01-01 04:00:00,Night,Steering Column,MAT-0101-L2,Team D,228,222,212,79.2,2.558,100.18,58.13,169.75
B2026010108_L2,L2,2026-01-01 08:00:00,Day,Steering Column,MAT-0101-L2,Team A,234,226,219,76.94,2.35,99.35,57.92,168.78
B2026010112_L2,L2,2026-01-01 12:00:00,Day,Steering Column,MAT-0101-L2,Team B,195,192,188,75.33,2.37,97.07,58.12,168.77
B2026010116_L2,L2,2026-01-01 16:00:00,Evening,Steering Column,MAT-0101-L2,Team C,230,218,211,75.5,2.455,95.33,58.17,169.7
B2026010120_L2,L2,2026-01-01 20:00:00,Evening,Steering Column,MAT-0101-L2,Team D,220,216,206,75.26,2.45,97.29,57.38,168.09
B2026010200_L2,L2,2026-01-02 00:00:00,Night,SUV Frame,MAT-0102-L2,Team C,199,200,189,78.55,2.507,99.6,58.14,170.2
B2026010204_L2,L2,2026-01-02 04:00:00,Night,SUV Frame,MAT-0102-L2,Team D,236,234,226,79.45,2.576,100.76,58.3,171.03
B2026010208_L2,L2,2026-01-02 08:00:00,Day,SUV Frame,MAT-0102-L2,Team A,222,225,219,77.0,2.382,99.78,57.84,169.08
B2026010212_L2,L2,2026-01-02 12:00:00,Day,SUV Frame,MAT-0102-L2,Team B,228,219,212,75.65,2.393,97.4,57.69,168.68
B2026010216_L2,L2,2026-01-02 16:00:00,Evening,SUV Frame,MAT-0102-L2,Team C,180,188,179,75.43,2.463,95.59,57.79,169.32
